dex,a),b),c),d),e),f),g),h),i),j),diam,price,Column1
1,7854,7.86,61.73,291.25,0,0,0,0,0,0,1,2.14,
2,19452.7,4.5,87.54,907.04,0,0,0,0,0,0,1.2,4.7,
3,6911.5,4.5,31.1,383.98,0,0,0,0,0,0,1,5.6,
4,19006.6,0.95,18.06,147.29,0,0,0,0,0,0,1.1,3.7,
5,8461.1,2.7,22.84,211.53,0,0,0,0,0,0,0.9,4.2,
6,12449.3,2.7,33.61,244.54,0,0,0,0,0,0,1.1,3.3,
7,13238.7,4.5,59.57,525.35,0,0,0,0,0,0,1.4,4,
8,6484.2,4.5,29.18,340.94,0,0,0,0,0,0,0.8,5.3,
9,32692.2,0.95,31.06,267.03,0,0,0,0,0,0,1.5,3.9,
10,21859.2,0.95,20.77,160.24,0,0,0,0,0,0,1.4,3.5,
11,3271.2,0.95,3.11,38.37,0,0,0,0,0,0,0.7,5.6,
12,29248.2,2.7,78.97,348.2,0,0,0,0,0,0,1.4,2,
13,6635,2.7,17.91,233.02,0,0,0,0,0,0,0.8,5.9,
14,17296,2.7,46.7,483.88,0,0,0,0,0,0,1.1,4.7,
15,5830.8,4.5,26.24,277.66,0,0,0,0,0,0,0.8,4.8,
16,14765.5,4.5,66.44,703.13,0,0,0,0,0,0,1,4.8,
17,10751.3,4.5,48.38,586.64,0,0,0,0,0,0,0.9,5.5,
18,33399.1,2.7,90.18,834.99,0,0,0,0,0,0,1.5,4.2,
19,11514.7,4.5,51.82,548.33,0,0,0,0,0,0,0.9,4.8,
20,21912.6,2.7,59.16,600,0,0,0,0,0,0,1.5,4.6,
21,11387.5,4.5,51.24,305.03,0,0,0,0,0,0,0.9,2.7,
22,6311.5,0.95,6,64.77,0,0,0,0,0,0,0.7,4.9,
23,7466,4.5,33.6,429.6,0,0,0,0,0,0,0.7,5.8,
24,9189.2,4.5,41.35,428.47,0,0,0,0,0,0,1,4.7,
25,20583.7,4.5,92.63,1204.82,0,0,0,0,0,0,1.2,5.9,
26,4473.6,0.95,4.25,34.67,0,0,0,0,0,0,0.8,3.7,
27,8639.4,2.7,23.33,195.42,0,0,0,0,0,0,1,3.8,
28,5080,2.7,13.72,136.07,0,0,0,0,0,0,0.7,4.5,
29,21502.6,2.7,58.06,435.18,0,0,0,0,0,0,1.3,3.4,
30,13538.7,4.5,60.92,711.87,0,0,0,0,0,0,1.3,5.3,
31,24630.1,0.95,23.4,294.03,0,0,0,0,0,0,1.4,5.7,
32,14998.7,2.7,40.5,348.19,0,0,0,0,0,0,1.3,3.9,
33,23706.5,4.5,106.68,940.75,0,0,0,0,0,0,1.4,4,
34,12341.7,2.7,33.32,301.2,0,0,0,0,0,0,0.9,4.1,
35,24476.1,0.95,23.25,148.66,0,0,0,0,0,0,1.4,2.9,
36,5277.9,4.5,23.75,198.97,0,0,0,0,0,0,0.8,3.8,
37,9274,4.5,41.73,340.42,0,0,0,0,0,0,1.2,3.7,
38,7690.6,4.5,34.61,167.85,0,0,0,0,0,0,0.8,2.2,
39,14058.6,0.95,13.36,88.33,0,0,0,0,0,0,1,3,
40,10306,4.5,46.38,368.08,0,0,0,0,0,0,0.9,3.6,
41,9797.1,0.95,9.31,88.23,0,0,0,0,0,0,0.9,4.3,
42,8193.3,4.5,36.87,325.13,0,0,0,0,0,0,0.8,4,
43,9613.3,4.5,43.26,476.86,0,0,0,0,0,0,1.2,5,
44,8897,2.7,24.02,116.51,0,0,0,0,0,0,0.8,2.2,
45,21089.5,4.5,94.9,983.36,0,0,0,0,0,0,1.4,4.7,
46,11578.3,4.5,52.1,321.63,0,0,0,0,0,0,0.9,2.8,
47,10618.6,2.7,28.67,335,0,0,0,0,0,0,1.3,5.3,
48,21635.4,0.95,20.55,149.53,0,0,0,0,0,0,1.3,3.3,
49,26148.3,2.7,70.6,529.2,0,0,0,0,0,0,1.3,3.4,
50,13273.2,4.5,59.73,329.2,0,0,0,0,0,0,1,2.5,
51,17494.7,0.95,16.62,142.9,0,0,0,0,0,0,1.5,3.9,
52,8325.2,4.5,37.46,470.78,0,0,0,0,0,0,1,5.7,
53,5733.4,2.7,15.48,184.29,0,0,0,0,0,0,1,5.4,
54,9346.2,4.5,42.06,203.99,0,0,0,0,0,0,1,2.2,
55,5888.1,2.7,15.9,175.24,0,0,0,0,0,0,0.7,5,
56,21705.3,4.5,97.67,796.73,0,0,0,0,0,0,1.4,3.7,
57,6934.3,0.95,6.59,33.4,0,0,0,0,0,0,0.9,2.3,
58,15374.2,2.7,41.51,402.66,0,0,0,0,0,0,1.5,4.4,
59,2924.8,4.5,13.16,127.67,0,0,0,0,0,0,0.7,4.4,
60,7037.2,0.95,6.69,47.16,0,0,0,0,0,0,0.8,3.2,
61,4775.2,4.5,21.49,217.92,0,0,0,0,0,0,0.8,4.6,
62,9860.7,4.5,44.37,254.35,0,0,0,0,0,0,0.9,2.6,
63,11784.1,4.5,53.03,572.85,0,0,0,0,0,0,1.1,4.9,
64,24630.1,0.95,23.4,206.34,0,0,0,0,0,0,1.4,4,
65,17417,2.7,47.03,435.43,0,0,0,0,0,0,1.2,4.2,
66,6047.6,4.5,27.21,185.99,0,0,0,0,0,0,1,3.1,
67,13194.7,4.5,59.38,680.69,0,0,0,0,0,0,1,5.2,
68,12449.3,4.5,56.02,407.57,0,0,0,0,0,0,1.1,3.3,
69,6616.2,2.7,17.86,192.98,0,0,0,0,0,0,0.9,4.9,
70,8645.7,4.5,38.91,231.58,0,0,0,0,0,0,0.8,2.7,
71,4516.8,4.5,20.33,228.53,0,0,0,0,0,0,0.9,5.1,
72,11896.4,0.95,11.3,77.24,0,0,0,0,0,0,0.9,3.1,
73,11499,2.7,31.05,280.64,0,0,0,0,0,0,1.1,4.1,
74,28324.6,2.7,76.48,843.01,0,0,0,0,0,0,1.4,5,
75,27247,2.7,73.57,746.06,0,0,0,0,0,0,1.4,4.6,
76,8906.4,4.5,40.08,503.64,0,0,0,0,0,0,0.9,5.7,
77,7570.5,4.5,34.07,428.1,0,0,0,0,0,0,0.9,5.7,
78,11689.1,4.5,52.6,637.81,0,0,0,0,0,0,1.1,5.5,
79,17190.8,4.5,77.36,494.58,0,0,0,0,0,0,1.2,2.9,
80,13779.8,2.7,37.21,221.46,0,0,0,0,0,0,1.1,2.7,
81,6283.2,4.5,28.27,124.67,0,0,0,0,0,0,0.8,2,
82,8089.6,4.5,36.4,264.84,0,0,0,0,0,0,1,3.3,
83,11859.5,4.5,53.37,647.11,0,0,0,0,0,0,1,5.5,
84,3771.5,2.7,10.18,103.27,0,0,0,0,0,0,0.7,4.6,
85,15855.6,0.95,15.06,149.44,0,0,0,0,0,0,1.4,4.5,
86,8695.9,0.95,8.26,80.14,0,0,0,0,0,0,0.8,4.4,
87,9550.4,4.5,42.98,360.04,0,0,0,0,0,0,0.8,3.8,
88,12405.4,4.5,55.82,566.13,0,0,0,0,0,0,0.9,4.6,
89,13684.8,2.7,36.95,276.96,0,0,0,0,0,0,1.1,3.4,
90,33929.2,4.5,152.68,1750.34,0,0,0,0,0,0,1.5,5.2,
91,7061.5,4.5,31.78,399.32,0,0,0,0,0,0,0.9,5.7,
92,13019.5,0.95,12.37,65.44,0,0,0,0,0,0,1.1,2.4,
93,16193.3,2.7,43.72,212.06,0,0,0,0,0,0,1.3,2.2,
94,6937.4,2.7,18.73,239.51,0,0,0,0,0,0,1.1,5.8,
95,16591.5,2.7,44.8,543.18,0,0,0,0,0,0,1.3,5.5,
96,6580.9,2.7,17.77,164.52,0,0,0,0,0,0,0.7,4.2,
97,9399.6,0.95,8.93,51.18,0,0,0,0,0,0,0.8,2.6,
98,14529.9,0.95,13.8,124.77,0,0,0,0,0,0,1,4.1,
99,18321.8,4.5,82.45,672.54,0,0,0,0,0,0,1.2,3.7,
100,4775.2,4.5,21.49,251.08,0,0,0,0,0,0,0.8,5.3,
101,9148.3,4.5,41.17,317.65,0,0,0,0,0,0,0.8,3.5,
102,10115.1,4.5,45.52,210.74,0,0,0,0,0,0,0.9,2.1,
103,6747.4,4.5,30.36,254.37,0,0,0,0,0,0,1.1,3.8,
104,7087.4,4.5,31.89,281.25,0,0,0,0,0,0,0.8,4,
105,23398.6,4.5,105.29,835.68,0,0,0,0,0,0,1.4,3.6,
106,3617.5,2.7,9.77,71.06,0,0,0,0,0,0,0.7,3.3,
107,12666.9,4.5,57,615.76,0,0,0,0,0,0,1.2,4.9,
108,4898.5,2.7,13.23,67.06,0,0,0,0,0,0,0.9,2.3,
109,4707.7,4.5,21.18,140.11,0,0,0,0,0,0,0.9,3,
110,19615.3,2.7,52.96,233.52,0,0,0,0,0,0,1.5,2,
111,14202.4,4.5,63.91,422.7,0,0,0,0,0,0,1.3,3,
112,5233.9,0.95,4.97,31.79,0,0,0,0,0,0,0.7,2.9,
113,10751.3,2.7,29.03,345.58,0,0,0,0,0,0,0.9,5.4,
114,3040.3,2.7,8.21,38,0,0,0,0,0,0,0.7,2.1,
115,5387.8,4.5,24.25,213.81,0,0,0,0,0,0,0.7,4,
116,13458.6,4.5,60.56,614.19,0,0,0,0,0,0,1.2,4.6,
117,4775.2,4.5,21.49,274.77,0,0,0,0,0,0,0.8,5.8,
118,15205.3,4.5,68.42,512.89,0,0,0,0,0,0,1.1,3.4,
119,18908.5,4.5,85.09,1031.73,0,0,0,0,0,0,1.5,5.5,
120,16155.6,4.5,72.7,416.72,0,0,0,0,0,0,1.1,2.6,
121,29864.8,4.5,134.39,1303.64,0,0,0,0,0,0,1.5,4.4,
122,8029.9,0.95,7.63,70.63,0,0,0,0,0,0,1.2,4.2,
123,22033.6,2.7,59.49,537.73,0,0,0,0,0,0,1.3,4.1,
124,30633.7,4.5,137.85,1154.86,0,0,0,0,0,0,1.4,3.8,
125,15015.2,4.5,67.57,878.88,0,0,0,0,0,0,1.1,5.9,
126,17395,4.5,78.28,500.46,0,0,0,0,0,0,1.4,2.9,
127,16857,0.95,16.01,183.59,0,0,0,0,0,0,1.3,5.2,
128,15041.9,4.5,67.69,328.3,0,0,0,0,0,0,1.2,2.2,
129,6503.9,4.5,29.27,387.14,0,0,0,0,0,0,0.7,6,
130,21502.6,4.5,96.76,1023.95,0,0,0,0,0,0,1.3,4.8,
131,12829.5,0.95,12.19,161.22,0,0,0,0,0,0,1.1,6,
132,16989.7,4.5,76.45,876.47,0,0,0,0,0,0,1.3,5.2,
133,5127.1,4.5,23.07,218.72,0,0,0,0,0,0,0.8,4.3,
134,12344.1,4.5,55.55,563.33,0,0,0,0,0,0,1.3,4.6,
135,9123.2,2.7,24.63,255.24,0,0,0,0,0,0,1.1,4.7,
136,8168.1,4.5,36.76,380.86,0,0,0,0,0,0,1,4.7,
137,23090.7,4.5,103.91,985.04,0,0,0,0,0,0,1.4,4.3,
138,8821.6,0.95,8.38,101.62,0,0,0,0,0,0,1.2,5.5,
139,19452.7,4.5,87.54,964.93,0,0,0,0,0,0,1.2,5,
140,11451.1,0.95,10.88,88.74,0,0,0,0,0,0,0.9,3.7,
141,5980,0.95,5.68,48.85,0,0,0,0,0,0,0.9,3.9,
142,4733.6,0.95,4.5,58.49,0,0,0,0,0,0,0.7,5.9,
143,17786.1,4.5,80.04,776.39,0,0,0,0,0,0,1.3,4.4,
144,13273.2,2.7,35.84,387.14,0,0,0,0,0,0,1.3,4.9,
145,5497.8,2.7,14.84,134.17,0,0,0,0,0,0,1,4.1,
146,14928.8,2.7,40.31,275.48,0,0,0,0,0,0,1.2,3.1,
147,2924.8,4.5,13.16,139.28,0,0,0,0,0,0,0.7,4.8,
148,9503.3,4.5,42.76,282.84,0,0,0,0,0,0,1,3,
149,3719.6,2.7,10.04,92.99,0,0,0,0,0,0,0.8,4.2,
150,22619.5,4.5,101.79,1279.1,0,0,0,0,0,0,1.5,5.7,
151,28786.4,2.7,77.72,702.54,0,0,0,0,0,0,1.4,4.1,
152,24476.1,0.95,23.25,128.16,0,0,0,0,0,0,1.4,2.5,
153,8838.1,0.95,8.4,79.59,0,0,0,0,0,0,1.1,4.3,
154,9556.7,4.5,43.01,379.24,0,0,0,0,0,0,1.3,4,
155,6850.2,0.95,6.51,84.65,0,0,0,0,0,0,0.7,5.9,
156,10884,0.95,10.34,132.21,0,0,0,0,0,0,1.3,5.8,
157,15529.7,4.5,69.88,570.05,0,0,0,0,0,0,1.3,3.7,
158,3886.9,2.7,10.49,134.19,0,0,0,0,0,0,0.7,5.8,
159,8344.1,4.5,37.55,215.23,0,0,0,0,0,0,0.8,2.6,
160,7775.4,0.95,7.39,55.37,0,0,0,0,0,0,1,3.4,
161,4310.3,0.95,4.09,31.6,0,0,0,0,0,0,0.7,3.5,
162,13546.5,2.7,36.58,451.56,0,0,0,0,0,0,1.4,5.6,
163,26015.5,0.95,24.71,185.25,0,0,0,0,0,0,1.3,3.4,
164,21036.1,4.5,94.66,1022.6,0,0,0,0,0,0,1.2,4.9,
165,8344.1,4.5,37.55,413.9,0,0,0,0,0,0,0.8,5,
166,19792,2.7,53.44,506.59,0,0,0,0,0,0,1.5,4.3,
167,23398.6,4.5,105.29,1091.02,0,0,0,0,0,0,1.4,4.7,
168,20971.7,4.5,94.37,582.56,0,0,0,0,0,0,1.3,2.8,
169,17581.1,2.7,47.47,512.79,0,0,0,0,0,0,1.1,4.9,
170,9556.7,2.7,25.8,170.66,0,0,0,0,0,0,1.3,3,
171,15550.9,2.7,41.99,518.37,0,0,0,0,0,0,1,5.6,
172,4707.7,4.5,21.18,121.43,0,0,0,0,0,0,0.9,2.6,
173,21705.3,4.5,97.67,1141.27,0,0,0,0,0,0,1.4,5.3,
174,15833.6,0.95,15.04,152.54,0,0,0,0,0,0,1.2,4.6,
175,12532.6,0.95,11.91,154.86,0,0,0,0,0,0,0.9,5.9,
176,14589.6,4.5,65.65,521.06,0,0,0,0,0,0,1.2,3.6,
177,5661.9,0.95,5.38,69.96,0,0,0,0,0,0,0.9,5.9,
178,3568.8,4.5,16.06,191.19,0,0,0,0,0,0,0.8,5.4,
179,12440.7,4.5,55.98,481.34,0,0,0,0,0,0,1.2,3.9,
180,7775.4,4.5,34.99,424.26,0,0,0,0,0,0,1,5.5,
181,10631.1,2.7,28.7,284.77,0,0,0,0,0,0,1.2,4.5,
182,7640.4,4.5,34.38,151.6,0,0,0,0,0,0,0.8,2,
183,9479,0.95,9.01,65.51,0,0,0,0,0,0,0.9,3.3,
184,11547.7,4.5,51.96,481.16,0,0,0,0,0,0,1.3,4.2,
185,14844,4.5,66.8,662.69,0,0,0,0,0,0,1,4.5,
186,19704.1,2.7,53.2,492.61,0,0,0,0,0,0,1.4,4.2,
187,22280.2,4.5,100.26,685.21,0,0,0,0,0,0,1.2,3.1,
188,6232.9,4.5,28.05,148.41,0,0,0,0,0,0,0.8,2.4,
189,20440.8,4.5,91.98,1135.62,0,0,0,0,0,0,1.3,5.6,
190,15396.9,4.5,69.29,656.82,0,0,0,0,0,0,1.3,4.3,
191,14920.2,2.7,40.28,461.82,0,0,0,0,0,0,1.1,5.2,
192,18715.3,0.95,17.78,78.39,0,0,0,0,0,0,1.3,2,
193,15946.7,0.95,15.15,170.33,0,0,0,0,0,0,1.2,5.1,
194,6234.5,2.7,16.83,204.11,0,0,0,0,0,0,0.7,5.5,
195,19615.3,4.5,88.27,544.88,0,0,0,0,0,0,1.5,2.8,
196,23860.4,4.5,107.37,781.16,0,0,0,0,0,0,1.4,3.3,
197,8143,2.7,21.99,198.73,0,0,0,0,0,0,0.8,4.1,
198,14363.4,2.7,38.78,324.89,0,0,0,0,0,0,1.2,3.8,
199,5156.9,4.5,23.21,245.57,0,0,0,0,0,0,0.7,4.8,
200,13874.8,4.5,62.44,564.36,0,0,0,0,0,0,1.1,4.1,
